Descrição;Código;Placa;Chassis;Série;Proprietário;Filial Proprietário;Patrimonio;
ADUBADEIRA;6039;;;;USINA MONTE ALEGRE S/A;1;;
ADUBADEIRA ( INOX );6064;;;;USINA MONTE ALEGRE S/A;1;;
ADUBADEIRA 2 ( INOX );6072;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7157;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7158;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7159;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7160;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7161;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7162;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7163;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7183;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7165;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7166;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7167;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7168;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7169;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7170;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7171;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7172;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7173;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7174;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7175;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7181;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7156;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7155;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7154;;;;USINA MONTE ALEGRE S/A;1;;
ASPERSORES;7164;;;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1007;NPW-5838;9BM6933889B667496;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1020;MNV-2076;9BM6963651B264685;400;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1019;MNV-2056;9BM6963651B261532;400;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1006;NPW-4608;9BM6933889B667054;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1021;MOG-1636;9BM6963651B265468;400;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1011;MNY-9850;9BM386364LB888106;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA BASCULANTE;1014;MNQ-4273;9BM344014JB830635;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA IMPLEMENTO INDUSTRIA;8501;;;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA ROLL ON;6062;;;;USINA MONTE ALEGRE S/A;1;;
CAÇAMBA ROLL ON ;6063;;;;USINA MONTE ALEGRE S/A;1;;
CAMINHAO APOIO;1013;MNS-3068;9BM386364MB917827;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BATE/VOLTA;1010;MMP-8180;9BM345413LB888973;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BATE/VOLTA;1003;MNY-9860;9BM345413LB883592;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1052;SEX-3A47;9BM958264NB314810;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1041;RLW5B99;9BM958174MB197099;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1012;MNY-9840;9BM386364LB889877;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1008;MOI-6376;9BM6933868B605568;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1033;PFB-6214;9BM693328BB772754;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BOMBEIRO;1047;PZQ-5157;93KK0R1D3HE158818;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO BORRACHARIA;1034;NPX-4209;9533172S6AR003379;G1T117068;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CAÇAMBA BASCULANTE;1053;ROV-4C60;9MB958170PB302408;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CAÇAMBA BASCULANTE;1054;STJ-0D00;9BM951514PB333367;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1029;NQD-7027;9BM958478AB734713;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1036;QSI9269;9BM958478LB153356;457910U1053205;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1038;RLS3C60;9BM958478LB193212;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1039;RLS-3A10;9BM958478LB192658;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1040;RLS3B70;9BM958478LB192147;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1042;RLU8E83;9BM958478MB210344;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1044;RLV-0I67;9BM958478NB247514;OM 547 LA ;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1045;BCJ-0J32;9BM958478JB102622;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1046;IZT-8F73;9BM958478KB164818;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1048;SLA-4H26;9BM964016RB345758;A0118643;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1049;IZO-5J01;9BM958478KB144846;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1035;QSJ2238;9BM958478LB150460;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1028;NQD-6997;9BM958478AB733359;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1027;NPW-7129;9BM9584729B637432;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1026;MOQ-1346;9BM9584788B612028;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1025;MNT-6737;9BM9584787B543924;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1030;QFA-9114;9BM958478EB958063;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1022;MOG-1726;9BM6963651B261256;400;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1023;MNJ-7368;9BM6963655B431609;400;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CANAVIEIRO;1024;MNZ-7508;9BM9584786B499890;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO CAVALO MECÂNICO;1037;DTR2D46;9BVAN60D26E719283;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO COMBOIO;1051;SJX-7J70;9536E8233PR029740;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO COMBOIO;1004;MON-1719;9BM9580246B447599;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO COMBOIO;1005;NPX-4939;9BM6931869B677596;;USINA MONTE ALEGRE S/A;1;;
CAMINHAO FORD CARGO 6332 E ;9145;NNY-5658;;;USINA ESTIVAS LTDA;;;
CAMINHÃO M. BENZ ACTROS 2651 LS/33 E6;1107;SLC-3G93;9BM963424PB325467;A0118551;USINA MONTE ALEGRE S/A;1;;
CAMINHAO MBB AXOR 3344;9147;NMO9979;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344;9148;NMD2745;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344;9149;MTC-7478;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344;9150;AXQ-4391;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344;9144;NXU-5904;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344 F03;9141;AXM-9353;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344 F04;9140;FJW-9884;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB AXOR 3344 6X4;9125;RFG-5I15;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB 3344;9130;BTO3872;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB 3344 6X4;9127;RFG-5I12;;;USINA ESTIVAS LTDA;;;
CAMINHAO MBB 3344 6X4;9128;RFG-5I08;;;USINA ESTIVAS LTDA;;;
CAMINHÃO MUNCK;1032;KKZ-3851;9BW3782T98R808939;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO OFICINA;1055;TOT6J16;9BM951104SB403532;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO OFICINA;1050;FJB-4J56;9BM951102PB313589;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO OFICINA;1043;AXS-2D35;9BM693186DB938924;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO PRANCHA;1002;MMV-5965;9BVN5A7A0VE658956;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO PRANCHA;1015;MNS-5609;9BM386364MB920877;3769750U9065117;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO RODOTREM;1108;QRR-7991;9BM938142KS049811;;USINA MONTE ALEGRE S/A;1;;
CAMINHÃO TRANS. AÇUCAR;1009;MNY-9820;9BM386364LB889302;;USINA MONTE ALEGRE S/A;1;;
CAMINHAO VOLVO FMX 480;9121;EYC-4182;;;USINA ESTIVAS LTDA;;;
CAMINHAO VOLVO FMX 480;9122;EYC0524;;;USINA ESTIVAS LTDA;;;
CAMINHAO VOLVO FMX 480;9123;EYC-0519;;;USINA ESTIVAS LTDA;;;
CAMINHAO VOLVO FMX 480;9129;EYC-0521;;;USINA ESTIVAS LTDA;;;
CAMINHAO VOLVO FMX 480;9124;EYC-0513;;;USINA ESTIVAS LTDA;;;
CAMINHAO VOLVO FMX 480;9126;EYC-4192;;;USINA ESTIVAS LTDA;;;
CAMINHAO VW 31.320 CNC 6X4;9146;MNR-7304;;;USINA ESTIVAS LTDA;;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3019;;BM104627473;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3020;;BM104627474;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3021;;BM100222627;M100222627;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3022;;BM100222630;M100222630;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3023;;BM100264243;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3024;;BM100264244;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3027;;BM100261896;M100261896;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3028;;BM100291788;M100291788;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3029;;M10R527464;JMD525005;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3030;;M10R527465;JMD526026;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3014;;BM100222629;BM100222629;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3015;;BM100222628;M100222628;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA - IMPLEMENTO SANTAL CMP MASTER;3016;;BM100222631;BM100222631;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA BELL SC 800;3031;CAR-3031;2023.08.825;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA BELL SC 800;3026;CAR-3026;;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA BELL SC 800;3025;;201409722;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA HIMA;3012;;;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA MOTOCANA;3011;;V211128;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA MOTOCANA;3006;;V191814;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA MOTOCANA;3003;;V192997;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA MOTOCANA;3001;;;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA SANTAL;9153;;;;USINA ESTIVAS LTDA;;;
CARREGADEIRA SANTAL;3009;;Inlegível;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA SANTAL;3008;;V126031;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA SANTAL;3007;;V166299;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA SANTAL;3002;;;;USINA MONTE ALEGRE S/A;1;;
CARREGADEIRA VALTRA BM 100;9152;;;;USINA ESTIVAS LTDA;;;
CARREGADEIRA VALTRA BM85 J01;9156;;;;USINA ESTIVAS LTDA;;;
CARRETEL/TUBOMAQ C90/350A, NO: C0037015 ( USADO );7024;;;;USINA MONTE ALEGRE S/A;1;;
CARROCA APOIO;6071;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇA APOIO OXIGÊNIO;8522;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇA APOIO PIVÔ;8521;;;;USINA MONTE ALEGRE S/A;1;;
CARROCA CALDEIRARIA;6032;;;;USINA MONTE ALEGRE S/A;1;;
CARROCA IRRIGACAO;6074;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇA P/ IRRIGAÇÃO;8559;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇA P/ IRRIGAÇÃO;8511;;;;USINA MONTE ALEGRE S/A;1;;
CARROCA REBOQUE PRANCHA;8526;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8524;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8525;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8527;CAR-8527;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8515;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8516;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8517;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8518;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8032;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO;8013;MON-5747;9A9RAC15211CL6341;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO APOIO FERTIRRIGAÇÃO;8523;;;;USINA MONTE ALEGRE S/A;1;;
CARROÇÃO MIGRO GEL;8560;;;;USINA MONTE ALEGRE S/A;1;;
CARROCAO PIPA ;8519;;;;USINA MONTE ALEGRE S/A;1;;
CARROCAO PIPA ;8520;;;;USINA MONTE ALEGRE S/A;1;;
CAVALO MECÂNICO;8562;OUE-4681;97TD0N412K2001781;;USINA MONTE ALEGRE S/A;1;;
CISAL;9605;;;;USINA MONTE ALEGRE S/A;1;;
COBRIDOR DE CANA;6009;;;;USINA MONTE ALEGRE S/A;1;;
COBRIDOR DE CANA;6089;;1.02.03.04.01.063;;USINA MONTE ALEGRE S/A;1;;
COLHEDEIRA DE CANA CASE IH;5005;COL-5005;PRCY9000TPPA06813;SWSL0300071;USINA MONTE ALEGRE S/A;1;;
COLHEDORA CASE A8810 F1;9157;;;;USINA ESTIVAS LTDA;;;
COLHEDORA DE CANA CH670;5003;COL-5003;1NWC670HPNT220070;;USINA MONTE ALEGRE S/A;1;;
COLHEDORA DE CANA CH670;5001;COL-5001;1NWC670HCMT210070;;USINA MONTE ALEGRE S/A;1;;
COLHEDORA DE CANA CH670;5002;COL-5002;1NWC670HJMT210074;;USINA MONTE ALEGRE S/A;1;;
COLHEDORA DE CANA CH670;5004;COL-5004;1NWC670HHRT240044;;USINA MONTE ALEGRE S/A;1;;
COLHEDORA VALTRA 1035E F2;9158;;;;USINA ESTIVAS LTDA;;;
COLHEDORA VALTRA 1035E F3;9159;;;;USINA ESTIVAS LTDA;;;
COMPOSTADOR;6042;;;;USINA MONTE ALEGRE S/A;1;;
CONCHA  PC 4009;6049;;;;USINA MONTE ALEGRE S/A;1;;
CONCHA PC 4019;6091;;;;USINA MONTE ALEGRE S/A;1;;
CONCHA TIPO V PC 4009;6059;;;;USINA MONTE ALEGRE S/A;1;;
CONCHA TIPO V PC 4019;6093;;;;USINA MONTE ALEGRE S/A;1;;
CORTADOR DE SOQUEIRA ;6100;;;3007;USINA MONTE ALEGRE S/A;1;;
CULTIVADOR;6098;;;;USINA MONTE ALEGRE S/A;1;;
CULTIVADOR;6047;;;;USINA MONTE ALEGRE S/A;1;;
CULTIVADOR C/ MOLA ASPIRAL;6109;;;;USINA MONTE ALEGRE S/A;1;;
CULTIVADOR C/ MOLA ASPIRAL;6110;;;;USINA MONTE ALEGRE S/A;1;;
CULTIVADOR DE FILEIRA DUPLA DE DISCO ;6113;;;;USINA MONTE ALEGRE S/A;1;;
DESCOMPACTADOR DPT320MAHD ;6116;;;;USINA MONTE ALEGRE S/A;1;;
DIST. CALCARIO;6040;;;;USINA MONTE ALEGRE S/A;1;;
DIST. TORTA MULTIFUNCIONAL;6053;;;;USINA MONTE ALEGRE S/A;1;;
DIST. TORTA MULTIFUNCIONAL;6066;DIS-6066;;84370/2016;USINA MONTE ALEGRE S/A;1;;
DISTRIBUIDORA DE CALCARIO;6103;;DCFC08000-3261;;USINA MONTE ALEGRE S/A;1;;
DISTRIBUIDORA DE CALCARIO;6090;;OCFC08000;;USINA MONTE ALEGRE S/A;1;;
DISTRIBUIDORA DE CALCARIO;6052;;;;USINA MONTE ALEGRE S/A;1;;
DISTRIBUIDORA DE TORTA;6034;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7057;;;100296436;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7191;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7189;ELE-7189;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7186;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7182;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7178;;;C1S197327;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7177;;;C1S194730;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7145;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7144;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7143;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7142;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7128;ELE-7128;F00274E001;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7041;;1022528443;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7042;;;26237;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7043;;;26239;USINA MONTE ALEGRE S/A;;;
ELETROBOMBA;7044;;1022528448;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7045;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7047;;;1012310071;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7048;;;1012552284;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7049;;;1012552282;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7050;;;1012518522;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7053;;;1002961438;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7054;;1022528444;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7056;;;1002981440;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7193;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7058;;;BI92365;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7059;;;OA66964;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7061;;;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7076;;;1002961441;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7077;;;OA66965;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7089;;;C1S197183;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7090;;;C1S197327;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7094;;;1002961434;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7095;;;100496614;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7120;;;22777;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7125;ELE-7125;F00274E001;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7126;ELE-7126;F00274E001;;USINA MONTE ALEGRE S/A;1;;
ELETROBOMBA;7127;ELE-7127;F00274E001;;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA;4005;;;;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA ;4010;;A977Y08606G;;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA HYSTER ;4023;;B977Y07043Y;;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA HYSTER CISAL;4016;;;;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA HYSTER CISAL;4018;;;B977Y03516U;USINA MONTE ALEGRE S/A;1;;
EMPILHADEIRA H40FT;4007;;A977Y08606G;A977Y08606G;USINA MONTE ALEGRE S/A;1;;
